InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,CustomerID,TotalRevenue
INV29342,2023-11-03,PROD007,SPF 50 Sunscreen,3,29.99,1012,89.97
INV26545,2023-11-26,PROD008,Retinol Night Cream,2,54.99,1041,109.98
INV27001,2023-11-03,PROD009,Hyaluronic Toner,2,39.99,1273,79.98
INV47721,2023-10-15,PROD009,Hyaluronic Toner,4,39.99,1048,159.96
INV99536,2023-05-27,PROD005,Lip Treatment Set,1,24.99,1166,24.99
INV62149,2023-06-27,PROD004,Hair Growth Oil,2,44.99,1125,89.98
INV34560,2023-12-13,PROD010,Collagen Supplement,2,49.99,1282,99.98
INV80048,2023-11-26,PROD006,Anti-Ageing Eye Cream,1,69.99,1073,69.99
INV61773,2023-07-14,PROD010,Collagen Supplement,2,49.99,1089,99.98
INV31805,2023-12-07,PROD002,Moisturising Cream,5,34.99,1023,174.95
INV94085,2023-10-23,PROD003,Vitamin C Kit,3,59.99,1053,179.97
INV74865,2023-08-15,PROD001,Premium Face Serum,1,89.99,1078,89.99
INV12246,2023-11-07,PROD005,Lip Treatment Set,4,24.99,1057,99.96
INV88172,2023-11-20,PROD003,Vitamin C Kit,5,59.99,1003,299.95
INV16731,2023-11-23,PROD010,Collagen Supplement,3,49.99,1047,149.97
INV93948,2023-11-09,PROD003,Vitamin C Kit,1,59.99,1066,59.99
INV57526,2023-11-05,PROD006,Anti-Ageing Eye Cream,2,69.99,1036,139.98
INV23154,2023-09-17,PROD009,Hyaluronic Toner,4,39.99,1023,159.96
INV36518,2023-09-25,PROD001,Premium Face Serum,2,89.99,1074,179.98
INV93442,2023-11-17,PROD006,Anti-Ageing Eye Cream,3,69.99,1025,209.97
INV98452,2023-12-30,PROD006,Anti-Ageing Eye Cream,2,69.99,1026,139.98
INV30758,2023-11-20,PROD010,Collagen Supplement,3,49.99,1021,149.97
INV91609,2023-09-07,PROD004,Hair Growth Oil,4,44.99,1021,179.96
INV75916,2023-12-08,PROD005,Lip Treatment Set,5,24.99,1036,124.95
INV20494,2023-07-06,PROD004,Hair Growth Oil,2,44.99,1175,89.98
INV91018,2023-09-03,PROD006,Anti-Ageing Eye Cream,3,69.99,1032,209.97
INV34581,2023-01-28,PROD005,Lip Treatment Set,1,24.99,1123,24.99
INV58760,2023-09-20,PROD008,Retinol Night Cream,4,54.99,1041,219.96
INV51104,2023-11-14,PROD009,Hyaluronic Toner,2,39.99,1006,79.98
INV66010,2023-11-17,PROD007,SPF 50 Sunscreen,1,29.99,1269,29.99
INV52421,2023-10-31,PROD009,Hyaluronic Toner,1,39.99,1071,39.99
INV80457,2023-09-15,PROD002,Moisturising Cream,3,34.99,1026,104.97
INV94545,2023-11-04,PROD001,Premium Face Serum,3,89.99,1064,269.97
INV44803,2023-10-10,PROD001,Premium Face Serum,5,89.99,1047,449.95
INV88104,2023-09-09,PROD007,SPF 50 Sunscreen,5,29.99,1003,149.95
INV90676,2023-10-24,PROD007,SPF 50 Sunscreen,3,29.99,1011,89.97
INV47957,2023-01-09,PROD003,Vitamin C Kit,1,59.99,1181,59.99
INV59634,2023-12-05,PROD010,Collagen Supplement,1,49.99,1259,49.99
INV94848,2023-11-17,PROD006,Anti-Ageing Eye Cream,3,69.99,1107,209.97
INV39430,2023-10-20,PROD002,Moisturising Cream,4,34.99,1037,139.96
INV34551,2023-10-16,PROD004,Hair Growth Oil,5,44.99,1038,224.95
INV82642,2023-09-04,PROD002,Moisturising Cream,4,34.99,1060,139.96
INV21362,2023-11-23,PROD008,Retinol Night Cream,1,54.99,1077,54.99
INV79397,2023-10-27,PROD002,Moisturising Cream,3,34.99,1041,104.97
INV53399,2023-10-05,PROD010,Collagen Supplement,2,49.99,1266,99.98
INV81802,2023-02-05,PROD007,SPF 50 Sunscreen,2,29.99,1125,59.98
INV96827,2023-10-24,PROD001,Premium Face Serum,2,89.99,1086,179.98
INV91663,2023-02-03,PROD009,Hyaluronic Toner,2,39.99,1230,79.98
INV94259,2023-11-23,PROD008,Retinol Night Cream,5,54.99,1003,274.95
INV79621,2023-10-26,PROD003,Vitamin C Kit,3,59.99,1024,179.97
INV94012,2023-12-02,PROD002,Moisturising Cream,4,34.99,1004,139.96
INV38647,2023-05-02,PROD006,Anti-Ageing Eye Cream,2,69.99,1166,139.98
INV53213,2023-11-22,PROD006,Anti-Ageing Eye Cream,2,69.99,1035,139.98
INV87860,2023-10-19,PROD002,Moisturising Cream,2,34.99,1096,69.98
INV83193,2023-03-26,PROD004,Hair Growth Oil,1,44.99,1207,44.99
INV71263,2023-09-04,PROD006,Anti-Ageing Eye Cream,4,69.99,1042,279.96
INV62565,2023-11-02,PROD008,Retinol Night Cream,3,54.99,1006,164.97
INV49602,2023-08-04,PROD004,Hair Growth Oil,2,44.99,1107,89.98
INV57948,2023-05-19,PROD008,Retinol Night Cream,1,54.99,1145,54.99
INV39716,2023-02-25,PROD007,SPF 50 Sunscreen,1,29.99,1218,29.99
INV25235,2023-12-19,PROD009,Hyaluronic Toner,5,39.99,1052,199.95
INV84177,2023-11-29,PROD005,Lip Treatment Set,2,24.99,1015,49.98
INV13037,2023-12-22,PROD005,Lip Treatment Set,5,24.99,1045,124.95
INV21050,2023-03-09,PROD010,Collagen Supplement,1,49.99,1176,49.99
INV62205,2023-09-03,PROD004,Hair Growth Oil,3,44.99,1058,134.97
INV10836,2023-09-05,PROD002,Moisturising Cream,2,34.99,1057,69.98
INV70956,2023-06-12,PROD005,Lip Treatment Set,2,24.99,1098,49.98
INV65004,2023-06-13,PROD007,SPF 50 Sunscreen,2,29.99,1095,59.98
INV42591,2023-12-03,PROD006,Anti-Ageing Eye Cream,2,69.99,1005,139.98
INV31936,2023-02-25,PROD006,Anti-Ageing Eye Cream,1,69.99,1192,69.99
INV17665,2023-09-25,PROD005,Lip Treatment Set,3,24.99,1006,74.97
INV68654,2023-02-02,PROD006,Anti-Ageing Eye Cream,2,69.99,1211,139.98
INV33992,2023-08-01,PROD005,Lip Treatment Set,1,24.99,1068,24.99
INV12540,2023-10-03,PROD002,Moisturising Cream,5,34.99,1014,174.95
INV51275,2023-02-08,PROD004,Hair Growth Oil,1,44.99,1212,44.99
INV38109,2023-07-20,PROD003,Vitamin C Kit,1,59.99,1158,59.99
INV96760,2023-12-18,PROD002,Moisturising Cream,2,34.99,1036,69.98
INV50416,2023-06-21,PROD008,Retinol Night Cream,1,54.99,1098,54.99
INV70375,2023-10-19,PROD004,Hair Growth Oil,3,44.99,1054,134.97
INV92557,2023-07-28,PROD005,Lip Treatment Set,2,24.99,1172,49.98
INV97207,2023-09-16,PROD007,SPF 50 Sunscreen,4,29.99,1030,119.96
INV37532,2023-05-21,PROD002,Moisturising Cream,2,34.99,1140,69.98
INV15229,2023-09-06,PROD005,Lip Treatment Set,4,24.99,1009,99.96
INV22903,2023-12-05,PROD002,Moisturising Cream,5,34.99,1023,174.95
INV80190,2023-12-27,PROD009,Hyaluronic Toner,2,39.99,1099,79.98
INV33703,2023-10-19,PROD003,Vitamin C Kit,3,59.99,1036,179.97
INV46208,2023-11-05,PROD003,Vitamin C Kit,2,59.99,1022,119.98
INV41217,2023-06-27,PROD004,Hair Growth Oil,3,44.99,1085,134.97
INV31679,2023-10-08,PROD008,Retinol Night Cream,2,54.99,1120,109.98
INV84128,2023-06-27,PROD010,Collagen Supplement,1,49.99,1143,49.99
INV40475,2023-02-04,PROD005,Lip Treatment Set,2,24.99,1155,49.98
INV58679,2023-03-02,PROD010,Collagen Supplement,1,49.99,1193,49.99
INV68580,2023-04-01,PROD006,Anti-Ageing Eye Cream,2,69.99,1173,139.98
INV10835,2023-12-12,PROD004,Hair Growth Oil,1,44.99,1084,44.99
INV75951,2023-01-28,PROD009,Hyaluronic Toner,1,39.99,1163,39.99
INV74282,2023-10-17,PROD005,Lip Treatment Set,1,24.99,1092,24.99
INV27367,2023-12-07,PROD005,Lip Treatment Set,2,24.99,1060,49.98
INV30591,2023-07-13,PROD010,Collagen Supplement,2,49.99,1097,99.98
INV75323,2023-10-30,PROD002,Moisturising Cream,3,34.99,1021,104.97
INV44048,2023-01-25,PROD008,Retinol Night Cream,2,54.99,1172,109.98
INV67535,2023-12-04,PROD001,Premium Face Serum,5,89.99,1054,449.95
INV79534,2023-11-12,PROD003,Vitamin C Kit,1,59.99,1077,59.99
INV34523,2023-10-04,PROD005,Lip Treatment Set,1,24.99,1069,24.99
INV10942,2023-11-10,PROD004,Hair Growth Oil,3,44.99,1005,134.97
INV10094,2023-03-11,PROD006,Anti-Ageing Eye Cream,2,69.99,1198,139.98
INV52714,2023-10-04,PROD010,Collagen Supplement,1,49.99,1062,49.99
INV83259,2023-11-30,PROD002,Moisturising Cream,4,34.99,1035,139.96
INV66446,2023-09-16,PROD001,Premium Face Serum,5,89.99,1032,449.95
INV12872,2023-12-23,PROD006,Anti-Ageing Eye Cream,1,69.99,1092,69.99
INV47700,2023-12-30,PROD007,SPF 50 Sunscreen,2,29.99,1030,59.98
INV17097,2023-02-26,PROD010,Collagen Supplement,1,49.99,1168,49.99
INV45585,2023-11-09,PROD006,Anti-Ageing Eye Cream,1,69.99,1283,69.99
INV62855,2023-12-22,PROD005,Lip Treatment Set,4,24.99,1045,99.96
INV66603,2023-09-30,PROD006,Anti-Ageing Eye Cream,5,69.99,1059,349.95
INV77861,2023-12-04,PROD003,Vitamin C Kit,5,59.99,1041,299.95
INV69873,2023-10-29,PROD003,Vitamin C Kit,5,59.99,1052,299.95
INV24026,2023-11-04,PROD007,SPF 50 Sunscreen,3,29.99,1057,89.97
INV33562,2023-10-12,PROD009,Hyaluronic Toner,1,39.99,1255,39.99
INV41552,2023-09-12,PROD007,SPF 50 Sunscreen,5,29.99,1045,149.95
INV76039,2023-11-15,PROD002,Moisturising Cream,5,34.99,1028,174.95
INV16755,2023-09-12,PROD009,Hyaluronic Toner,3,39.99,1055,119.97
INV25993,2023-11-07,PROD008,Retinol Night Cream,1,54.99,1270,54.99
INV73968,2023-11-25,PROD006,Anti-Ageing Eye Cream,2,69.99,1073,139.98
INV32296,2023-06-27,PROD002,Moisturising Cream,2,34.99,1096,69.98
INV18981,2023-11-05,PROD002,Moisturising Cream,3,34.99,1007,104.97
INV53025,2023-11-24,PROD004,Hair Growth Oil,5,44.99,1010,224.95
INV34704,2023-10-15,PROD003,Vitamin C Kit,4,59.99,1054,239.96
